6	-1584.31	5220.70	111.48	407.03	1520.36	0.00
6	-189.27	1353.80	126.64	197.60	686.84	0.00
6	-414.69	2569.60	106.71	508.89	1182.86	5.21
6	-152.97	691.70	111.62	38.37	127.47	0.00
6	322.71	167.10	29.95	203.87	13.54	7.85
6	-155.18	3899.40	245.59	278.54	1949.68	0.00
7	479.00	886.00	156.20	843.30	605.60	113.00
7	1478.12	941.30	382.45	651.45	1004.50	0.00
7	-157.07	794.30	321.79	72.62	200.45	3.03
8	1725.45	1703.80	195.86	748.87	1135.88	10.80
8	4813.53	1017.80	1059.80	1780.83	1459.60	30.00
8	288.60	505.80	126.56	105.20	337.20	0.00
8	77.29	3918.00	123.43	556.29	1257.00	0.00
8	646.30	2715.00	102.20	789.00	1785.00	0.00
8	196.51	375.90	76.39	89.94	180.97	0.34
8	3225.67	549.30	697.28	3577.29	613.32	22.68
8	329.20	728.80	5.81	196.57	481.99	0.00
8	1420.24	2611.70	111.40	439.76	1142.40	15.24
8	123.79	55.10	244.05	10.38	13.26	0.00
9	1232.31	3654.00	182.45	681.73	1807.60	13.95
9	1409.04	4177.40	183.95	1144.99	2188.75	0.00
9	7487.62	12150.80	2223.23	4790.61	6780.34	119.21
9	690.93	1817.20	202.75	415.35	1199.35	120.15
9	2517.02	1128.00	795.66	1235.35	910.47	22.08
9	969.30	873.00	18.00	907.20	658.00	0.00
9	1183.54	8456.00	800.08	1007.96	3385.94	0.26
9	13367.58	3492.60	3036.47	2939.72	2120.60	600.00
9	3654.63	4740.30	942.10	1250.15	4782.68	512.20
9	560.08	180.00	183.29	147.17	180.00	0.00
9	760.67	1150.00	58.07	116.21	594.46	0.00
9	5804.95	8317.00	1987.50	2872.32	5141.69	41.55
9	3247.70	4741.10	175.31	337.21	2343.31	13.95
9	1139.68	2427.10	101.81	105.10	2476.53	1.80
9	2133.64	739.80	262.70	631.31	423.21	0.00
9	2718.35	1323.80	201.78	969.41	722.55	0.18
9	1283.82	1325.90	45.00	610.90	713.90	0.00
10	547.42	2758.80	403.38	323.65	1769.20	129.38
10	3767.27	4346.90	65.71	310.54	2827.90	15.71
10	32.84	372.70	14.40	68.85	249.39	0.00
10	769.21	406.30	146.20	14.20	302.06	0.00
10	1551.83	2274.90	23.68	106.13	2054.93	3.68
10	716.70	157.50	61.49	210.42	157.48	0.12
10	1999.53	3193.30	43.54	388.55	2289.82	11.04
10	4370.43	1300.60	185.80	362.79	1215.79	0.00
10	2566.08	982.90	64.62	1806.68	982.90	21.82
10	9456.40	1185.80	787.21	2488.23	1097.79	27.90
10	5353.65	887.40	649.16	1788.33	566.95	13.95
10	2676.74	478.10	259.46	1606.45	486.95	45.08
10	7023.16	4909.90	680.89	2632.87	1987.68	0.00
10	2779.13	1270.50	1140.46	1052.07	545.31	474.15
10	5628.29	1931.70	384.63	1965.81	1702.88	27.60
10	1081.85	765.60	274.33	203.19	502.14	93.95
10	7467.03	1403.30	1391.70	1262.32	2142.67	0.00
10	3999.99	1642.90	572.70	1350.03	1534.43	0.00
10	7383.64	3531.90	604.80	1614.16	3839.42	52.90
10	3646.40	1050.40	571.95	672.83	1087.63	0.00
10	5026.88	855.90	442.84	2350.72	415.89	0.00
11	7621.45	2769.50	544.80	2691.87	1661.40	0.00
11	2656.81	383.20	18.20	2316.05	163.20	0.00
11	11269.30	3821.60	438.50	3114.22	5528.90	0.14
11	947.10	576.50	116.50	205.12	426.48	0.00
11	2582.88	1374.90	3107.30	1225.25	2174.40	1173.15
11	3794.24	3089.60	98.00	2174.60	2022.77	0.00
11	3524.60	1132.40	55.85	2304.98	1132.40	0.00
11	9194.00	2187.70	1633.71	3121.77	1875.97	771.86
11	2206.54	769.00	153.62	574.48	537.11	0.00
11	4332.52	2195.80	3.00	3447.38	2195.80	0.00
11	4585.31	2982.00	464.73	1685.92	1509.98	41.48
11	1685.89	1189.20	30.41	1153.61	1189.18	0.21
11	3355.91	14.50	277.00	136.39	14.52	0.00
11	16556.27	5704.90	1365.28	2997.44	5075.03	4.78
