6	3747.87	2388.60
6	1291.17	670.82
6	2261.62	1406.20
6	650.35	61.21
6	519.76	297.25
6	3989.81	2599.77
7	1521.20	898.29
7	2801.87	1863.27
7	959.02	138.86
8	3625.11	2603.81
8	6891.13	5271.19
8	920.96	390.56
8	4118.72	2907.07
8	3463.50	2658.62
8	648.80	250.64
8	4472.25	3146.44
8	1063.81	646.91
8	4143.34	2873.45
8	422.94	67.51
9	5068.76	3461.56
9	5770.39	4525.20
9	21861.65	16673.47
9	2710.88	1864.30
9	4440.68	2756.35
9	1860.30	1492.80
9	10439.62	7386.67
9	19896.65	5716.68
9	9337.03	7011.23
9	923.37	597.20
9	1968.74	1284.02
9	16109.45	11343.42
9	8164.11	6260.93
9	3668.59	2690.14
9	3136.14	2391.50
9	4243.93	3596.99
9	2654.72	2002.97
10	3709.60	2511.91
10	8179.88	6789.13
10	419.94	161.54
10	1321.71	768.09
10	3850.41	2943.30
10	935.69	474.68
10	5236.37	4115.62
10	5856.83	4821.69
10	3613.60	3216.66
10	11429.41	8820.79
10	6890.21	5150.03
10	3414.30	2790.75
10	12613.95	9805.02
10	5190.09	3143.87
10	7944.62	6593.47
10	2121.78	1206.38
10	10262.03	7663.60
10	6215.59	4469.17
10	11520.34	8942.87
10	5268.75	3732.75
10	6325.62	5057.41
11	10935.75	8548.32
11	3058.21	2593.62
11	15529.40	13256.04
11	1640.10	980.67
11	7065.08	3009.86
11	6981.84	5772.89
11	4712.85	3904.26
11	13015.41	9515.38
11	3129.16	2390.75
11	6531.32	5864.39
11	8032.04	6088.82
11	2905.50	2357.92
11	3647.41	2869.44
11	23626.45	18779.80
11	17598.25	12616.43
11	1238.66	927.24
11	10478.02	8307.23
11	8072.97	5716.80
11	2631.50	1833.28
11	4087.49	3186.92
11	2781.68	2444.28
11	74109.99	59406.67
11	9114.88	6694.31
11	2149.34	1564.76
11	5157.38	3987.88
11	1940.50	1632.77
11	24450.67	19073.78
11	12294.58	10409.58
11	4418.28	3424.59
12	39429.88	29830.36
12	5870.38	3501.95
12	7384.82	5087.47
12	2298.38	1723.97
12	5882.26	4401.39
12	9616.03	6969.05
12	8338.29	5260.45
12	2386.44	1630.72
12	4549.31	3045.72
12	3176.07	2205.27
12	39392.00	29907.60
12	6750.52	5496.62
12	2797.50	1911.85
12	12081.79	9210.78
12	3109.76	2344.37
12	9819.62	7921.74
12	2531.02	1718.74
12	6125.85	4840.88
12	6317.06	4489.22
12	15120.00	11460.79
12	9188.08	6592.08
12	2345.42	1823.37
12	10367.78	7748.95
12	6828.72	5496.67
12	1266.43	707.59
12	19025.96	14227.01
12	6584.25	5891.01
12	1912.35	1159.57
12	52128.69	48423.60
12	30810.82	22521.99
12	10688.33	8390.46
12	35296.83	26331.98
12	12436.35	9211.39
12	5109.07	3894.34
12	8448.47	5959.34
12	7436.78	5978.34
12	4117.59	3034.41
12	20581.27	15807.08
12	8324.35	5723.36
12	15523.72	10454.59
12	17681.58	12948.78
12	12028.53	9232.41
12	5761.97	3770.04
12	36149.89	28124.48
12	12365.45	9388.77
12	8882.49	6269.23
12	7216.75	5213.52
12	6024.16	4922.62
12	1605.37	767.98
12	4498.75	3301.01
12	4868.86	3851.38
12	85388.88	65422.02
12	7095.12	4927.53
12	8022.68	5467.43
12	11871.54	8950.39
12	9476.12	6933.37
12	8388.20	6114.13
12	1843.02	1418.52
12	12538.78	9518.26
12	30577.07	22093.70
12	3170.67	2514.55
12	4167.31	3641.34
12	2104.96	1323.67
12	6770.92	4567.74
12	2178.07	1789.73
12	23723.26	19543.03
13	13165.23	9681.12
